c1torque,c1tpress,c1press,Acc,c2tTorque,c2tpress,c2press,enginspeed,c1speed,c2speed,TGear,CGear,break,VehSpeed,º”ÀŸ∂»
-16,725,716,0,5,815,814,793,0,0,1,1,1,0,21
-16,725,716,0,5,815,814,796,0,0,1,1,1,0,20
-16,725,730,0,5,815,818,796,0,0,1,1,1,0,20
-16,725,730,0,5,815,818,797,0,0,1,1,1,0,21
-16,725,732,0,5,815,815,793,0,0,1,1,1,0,21
-16,725,732,0,5,815,815,793,0,0,1,1,1,0,22
-16,725,723,0,5,815,815,793,0,0,1,1,1,0,22
-16,725,723,0,5,815,814,792,0,0,1,1,1,0,24
-16,725,718,0,5,815,814,792,0,0,1,1,1,0,24
-16,725,718,0,5,815,814,783,0,0,1,1,1,0,24
-16,725,735,0,5,815,814,781,0,0,1,1,1,0,24
-16,725,735,0,5,815,814,781,0,0,1,1,1,0,24
-16,725,731,0,5,815,815,781,0,0,1,1,1,0,24
-16,725,731,0,5,815,815,777,0,0,1,1,1,0,24
-16,725,712,0,5,815,813,776,0,0,1,1,1,0,24
-16,725,712,0,5,815,813,776,0,0,1,1,1,0,23
-16,725,725,0,5,815,813,778,0,0,1,1,1,0,23
-16,725,725,0,5,815,813,778,0,0,1,1,1,0,22
-16,725,738,0,5,815,816,778,0,0,1,1,1,0,22
-16,725,738,0,5,815,816,778,0,0,1,1,1,0,20
-16,725,728,0,5,815,814,775,0,0,1,1,1,0,20
-16,725,728,0,5,815,814,775,0,0,1,1,1,0,19
-16,725,712,0,5,815,813,775,0,0,1,1,1,0,19
-16,725,712,0,5,815,813,775,0,0,1,1,1,0,19
-16,725,727,0,5,815,814,775,0,0,1,1,1,0,19
-16,725,727,0,5,815,814,775,0,0,1,1,1,0,20
-16,725,735,0,5,815,815,773,0,0,1,1,1,0,20
-16,725,735,0,5,815,815,773,0,0,1,1,1,0,22
-16,725,720,0,5,815,813,772,0,0,1,1,1,0,22
-16,725,720,0,5,815,813,772,0,0,1,1,1,0,23
-16,725,714,0,5,815,813,774,0,0,1,1,1,0,23
-16,725,714,0,5,815,813,774,0,0,1,1,1,0,24
-16,725,734,0,5,815,814,776,0,0,1,1,1,0,24
-16,725,734,0,5,815,814,776,0,0,1,1,1,0,23
-16,725,733,0,5,815,819,777,0,0,1,1,1,0,23
-16,725,733,0,5,815,819,777,0,0,1,1,1,0,23
-16,725,719,0,5,815,818,777,0,0,1,1,1,0,23
-16,725,719,0,5,815,818,777,0,0,1,1,1,0,23
-16,725,718,0,5,815,816,779,0,0,1,1,1,0,23
-16,725,718,0,5,815,816,779,0,0,1,1,1,0,24
-16,725,733,0,5,815,817,781,0,0,1,1,1,0,24
-16,725,733,0,5,815,817,781,0,0,1,1,1,0,25
-16,725,722,0,5,815,817,782,0,0,1,1,1,0,25
-16,725,722,0,5,815,817,782,0,0,1,1,1,0,24
-16,725,713,0,5,815,814,782,0,0,1,1,1,0,24
-16,725,713,0,5,815,814,782,0,0,1,1,1,0,23
-16,725,733,0,5,815,813,786,0,0,1,1,1,0,23
-16,725,733,0,5,815,813,786,0,0,1,1,1,0,22
-16,725,732,0,5,815,815,787,0,0,1,1,1,0,22
-16,725,732,0,5,815,815,787,0,0,1,1,1,0,22
-16,725,712,0,5,815,817,787,0,0,1,1,1,0,22
-16,725,712,0,5,815,817,787,0,0,1,1,1,0,22
-16,725,724,0,5,815,814,787,0,0,1,1,1,0,22
-16,725,724,0,5,815,814,787,0,0,1,1,1,0,22
-16,725,737,0,5,815,813,787,0,0,1,1,1,0,22
-16,725,737,0,5,815,813,787,0,0,1,1,1,0,23
-16,725,719,0,5,815,814,787,0,0,1,1,1,0,23
-16,725,719,0,5,815,814,787,0,0,1,1,1,0,23
-16,725,713,0,5,815,816,784,0,0,1,1,1,0,23
-16,725,713,0,5,815,816,784,0,0,1,1,1,0,23
-16,725,726,0,5,815,811,784,0,0,1,1,1,0,23
-16,725,726,0,5,815,811,784,0,0,1,1,1,0,23
-16,725,733,0,5,815,817,785,0,0,1,1,1,0,23
-16,725,733,0,5,815,817,785,0,0,1,1,1,0,22
-16,725,723,0,5,815,820,785,0,0,1,1,1,0,22
-16,725,723,0,5,815,820,785,0,0,1,1,1,0,21
-16,725,718,0,5,815,818,780,0,0,1,1,1,0,21
-16,725,718,0,5,815,818,780,0,0,1,1,1,0,20
-16,725,734,0,5,815,814,779,0,0,1,1,1,0,20
-16,725,734,0,5,815,814,779,0,0,1,1,1,0,21
-16,725,720,0,5,815,814,773,0,0,1,1,1,0,21
-16,725,720,0,5,815,814,773,0,0,1,1,1,0,22
-16,725,712,0,5,815,817,772,0,0,1,1,1,0,22
